,text,line,start_pos,end_pos,file,class,prob,predict
1,"Craig G. Anderson, Vice President, Operations Arkansas Nuclear One Entergy Operations, Inc. 1448 S.R.",2,0,101,ano_2001003.txt,,0.41110000014305115,Information
2,"333 Russellville, Arkansas 72801-0967 SUBJECT: ARKANSAS NUCLEAR ONE - INSPECTION REPORT 50-313/01-03; 50-368/01-03 AND PUBLIC EXIT MEETING SUMMARY Dear Mr. Anderson: On February 28, 2001, the NRC completed onsite inspection at your Arkansas Nuclear One, Unit 1, facility.",2,101,372,ano_2001003.txt,,0.36079999804496765,Information
3,Open items were subsequently discussed with your staff.,2,372,427,ano_2001003.txt,,0.52920001745224,Control
4,"The enclosed inspection report documents the inspection findings, which were discussed on March 9, 2001, with you and members of your staff, in an exit meeting open for public observation at the Arkansas Nuclear One facility.",2,427,652,ano_2001003.txt,,0.5472000241279602,Control
5,"The purpose of this inspection was to confirm that the activities that support your application for a renewed license for Arkansas Nuclear One, Unit 1, were conducted consistent with that application and with the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001.",2,652,997,ano_2001003.txt,,0.9977999925613403,Performance
6,"The inspection consisted of a selected examination of procedures and representative records and interviews with personnel regarding your programs and plans for managing aging in those systems, structures, and commodity groups within your scope of license renewal.",2,997,1260,ano_2001003.txt,,0.42579999566078186,Control
7,"This inspection concluded that you have identified the aging mechanisms for the systems, structures, and commodity groups within your scope of license renewal and that you have taken or plan to take appropriate actions to manage these aging mechanisms in accordance with your license renewal application and the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001.",2,1260,1704,ano_2001003.txt,,0.5273000001907349,Performance
8,"In addition, your existing aging management programs were generally being conducted as described in your license renewal application.",2,1704,1837,ano_2001003.txt,,0.8342999815940857,Procedural&Team
9,Discussion with plant staff and review of available documentation concerning your plans regarding enhancement of existing programs and creation of new aging management programs was generally consistent with your license renewal application.,2,1837,2077,ano_2001003.txt,,0.5774999856948853,Procedural&Team
10,We were unable to judge the acceptability of your planned new and enhanced aging management programs due to their incompletion.,2,2077,2204,ano_2001003.txt,,0.39320001006126404,Procedural&Team
11,"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's",2,2204,2461,ano_2001003.txt,,0.336899995803833,Control
12,"Entergy Operations, Inc.",4,0,25,ano_2001003.txt,,0.3294999897480011,Control
14,document system (ADAMS).,8,0,24,ano_2001003.txt,,0.3084999918937683,Control
15,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/NRC/ADAMS/index.html (the Public Electronic Reading Room).,8,24,146,ano_2001003.txt,,0.7738000154495239,Procedural&Team
16,"Sincerely, /RA/ Linda Joy Smith, Chief Project Branch D Division of Reactor Projects Docket Nos.",8,146,242,ano_2001003.txt,,0.49549999833106995,Control
17,": 50-313, 50-368 License Nos.",8,242,271,ano_2001003.txt,,0.4659000039100647,Control
18,": DPR-51, NPF-6 Enclosure: Inspection Report 50-313/01-03, 50-368/01-03 Attachments: (1) Supplemental Information (2) NRC Public Exit Meeting Presentation cc w/enclosure: Executive Vice President & Chief Operating Officer Entergy Operations, Inc. P.O.",8,271,522,ano_2001003.txt,,0.4147999882698059,Control
19,"Box 31995 Jackson, Mississippi 39286-1995 Vice President Operations Support Entergy Operations, Inc. P.O.",8,522,627,ano_2001003.txt,,0.3325999975204468,Procedural&Team
20,"Box 31995 Jackson, Mississippi 39286-1995 Manager, Washington Nuclear Operations ABB Combustion Engineering Nuclear Power 12300 Twinbrook Parkway, Suite 330 Rockville, Maryland 20852 County Judge of Pope County Pope County Courthouse 100 West Main Street Russellville, Arkansas 72801 Winston & Strawn 1400 L Street, N.W.",8,627,947,ano_2001003.txt,,0.375900000333786,Control
21,"Washington, DC 20005-3502",8,947,972,ano_2001003.txt,,0.2971000075340271,Control
22,"Entergy Operations, Inc. David D. Snellings, Jr., Director Division of Radiation Control and Emergency Management Arkansas Department of Health 4815 West Markham Street, Mail Slot 30 Little Rock, Arkansas 72205-3867 Mike Schoppman Framatome ANP, Inc. Suite 705 1911 North Fort Myer Drive Rossylin, Virginia 22209",10,0,313,ano_2001003.txt,,0.3813000023365021,Control
24,"Entergy Operations, Inc. Electronic distribution from ADAMS by RIV: Regional Administrator (EWM) DRP Director (KEB) DRS Director (ATH) Senior Resident Inspector (RLB3) Branch Chief, DRP/D (LJS) Senior Project Engineer, DRP/D (vacant) Branch Chief, DRP/TSS (PHH) RITS Coordinator (NBH) C. Grimes (CIG) R. Prato (RJP2) W. Reckley (WDR) Only inspection reports to the following: Scott Morris (SAM1) NRR Event Tracking System (IPAS) ANO Site Secretary (VLH) Dale Thatcher (DFT)",14,0,474,ano_2001003.txt,,0.5126000046730042,Management
26,R:\_ANO\2001\AN2001-1-03RP-RLN.wpd RIV:DRP/D RIV:DRP/D RIV:DRS/EMB RLNease KDWeaver WMMcNeill /RA/ E-RLNease T-LJSmith 03/30/01 03/23/01 04/19/01 NRR:DRIP NRR:DRIP HWang RJPrato E-RLNease E-RLNease 03/27/01 03/26/01 OFFICIAL RECORD COPY RIV:DRP/D LJSmith /RA/ 04/20/01,18,0,268,ano_2001003.txt,,0.48820000886917114,Control
27,RIV:DRS/EMB RPMullikin E-RLNease 03/29/01,20,0,41,ano_2001003.txt,,0.44690001010894775,Information
28,RII:DRS CAJulian E-RLNease 03/21/01,22,0,35,ano_2001003.txt,,0.6025999784469604,Control
32,"ENCLOSURE U.S. NUCLEAR REGULATORY COMMISSION REGION IV Docket Nos: License Nos: Report No: Applicant: Facility: Location: Dates: Team Leader: Inspectors: 50-313, 50-368 DPR-51, NPF-6 50-313/01-03, 50-368/01-03 Entergy Operations, Inc. Arkansas Nuclear One, Units 1 Junction of Hwy.",30,0,282,ano_2001003.txt,,0.24369999766349792,Management
34,"333 South Russellville, Arkansas January 22-26, 2001; February 5-9, 2001; and February 27-28, 2001 R. Nease, Acting Senior Project Engineer C. Julian, Technical Assistant, Region II R. Mullikin, Senior Reactor Inspector, Region IV W. McNeill, Reactor Inspector, Region IV K. Weaver, Resident Inspector, ANO H. Wang, Operations Engineer, NRR R. Prato, Project Manager, NRR L. Smith, Chief, Project Branch D Division of Reactor Projects",30,294,728,ano_2001003.txt,,0.9916999936103821,Procedural&Team
35,Accompanying Personnel: Approved By:,32,0,36,ano_2001003.txt,,0.33809998631477356,Procedural&Team
36,TABLE OF CONTENTS EXECUTIVE SUMMARY .,34,0,38,ano_2001003.txt,,0.35190001130104065,Procedural&Team
152,1 I. NRC Scoping and Screening Inspection .,34,170,213,ano_2001003.txt,,0.5303000211715698,Control
183,Aging Management Inspection Scope .,34,247,282,ano_2001003.txt,,0.6926000118255615,Control
264,Evaluation of Mechanical Systems Aging Management .,34,389,440,ano_2001003.txt,,0.8575999736785889,Procedural&Team
278,Emergency Feedwater System .,34,456,484,ano_2001003.txt,,0.2660999894142151,Control
305,Main Feedwater System .,34,513,536,ano_2001003.txt,,0.26159998774528503,Control
337,Service Water System .,34,570,592,ano_2001003.txt,,0.2992999851703644,Planning
370,Low Pressure Injection/Decay Heat Removal System .,34,627,677,ano_2001003.txt,,0.5702999830245972,Control
380,High Pressure Injection/Makeup and Purification System .,34,689,745,ano_2001003.txt,,0.33709999918937683,Information
387,Instrument Air System .,34,754,777,ano_2001003.txt,,0.26170000433921814,Procedural&Team
421,Chilled Water System .,34,813,835,ano_2001003.txt,,0.2678999900817871,Procedural&Team
455,Evaluation of Electrical Systems .,34,871,905,ano_2001003.txt,,0.5015000104904175,Control
487,Electrical Components .,34,939,962,ano_2001003.txt,,0.31779998540878296,Control
519,9 C. Evaluation of Structures and Structural Components .,34,993,1050,ano_2001003.txt,,0.2793000042438507,Control
608,Emergency Diesel Fuel Oil Storage Tank Vault .,34,1184,1230,ano_2001003.txt,,0.5174000263214111,Control
621,Bulk Commodities - Threaded Fasteners .,34,1246,1285,ano_2001003.txt,,0.4699999988079071,Control
638,16 D. Review of Selected Aging Management Programs .,34,1301,1353,ano_2001003.txt,,0.4722999930381775,Procedural&Team
655,Boric Acid Corrosion Prevention Program .,34,1373,1414,ano_2001003.txt,,0.585099995136261,Control
673,Reactor Building Sump Closeout Inspection .,34,1435,1478,ano_2001003.txt,,0.5855000019073486,Control
689,Borated Water Storage Tank Inspections .,34,1497,1537,ano_2001003.txt,,0.5839999914169312,Control
707,Wall Thinning Inspection .,34,1558,1584,ano_2001003.txt,,0.531499981880188,Control
738,SW Integrity Program .,34,1618,1640,ano_2001003.txt,,0.2563999891281128,Control
771,Emergency Feedwater Pump Testing .,34,1676,1710,ano_2001003.txt,,0.3215000033378601,Control
792,Heat Exchanger Monitoring Program .,34,1734,1769,ano_2001003.txt,,0.28360000252723694,Procedural&Team
813,Instrument Air Quality Program .,34,1793,1825,ano_2001003.txt,,0.2736999988555908,Planning
839,Maintenance Rule System and Structural Walkdowns .,34,1854,1904,ano_2001003.txt,,0.4207000136375427,Information
847,Buried Piping Inspection Program .,34,1916,1950,ano_2001003.txt,,0.2874999940395355,Control
871,Oil Analysis Program .,34,1978,2000,ano_2001003.txt,,0.3427000045776367,Planning
904,Bolting and Torquing Activities .,34,2037,2070,ano_2001003.txt,,0.421099990606308,Control
930,Reactor Building Integrated Leak Rate Test .,34,2100,2144,ano_2001003.txt,,0.48170000314712524,Control
945,Annual Emergency Cooling Pond Sounding Inspection .,34,2163,2214,ano_2001003.txt,,0.6377999782562256,Control
952,Spent Fuel Pool Level Monitoring .,34,2225,2259,ano_2001003.txt,,0.32589998841285706,Planning
976,Inspection and Preventive Maintenance of the Polar Crane .,34,2287,2345,ano_2001003.txt,,0.9951000213623047,Procedural&Team
980,Electrical Component Inspection Program .,34,2353,2394,ano_2001003.txt,,0.2669000029563904,Procedural&Team
997,Alternate AC Diesel Generator Testing and Inspections .,34,2415,2470,ano_2001003.txt,,0.5681999921798706,Performance
1004,Emergency Diesel Generator Testing and Inspections .,34,2481,2533,ano_2001003.txt,,0.6966999769210815,Control
1011,Battery Quarterly Surveillance .,34,2544,2576,ano_2001003.txt,,0.2971000075340271,Procedural&Team
1037,Fire Barrier Inspections .,34,2606,2632,ano_2001003.txt,,0.9431999921798706,Team & Organization
1068,Primary Chemistry Monitoring Program .,34,2667,2705,ano_2001003.txt,,0.36579999327659607,Procedural&Team
1087,Secondary Chemistry Monitoring .,34,2728,2760,ano_2001003.txt,,0.6287000179290771,Procedural&Team
1111,Auxiliary Systems Chemistry Monitoring .,34,2788,2828,ano_2001003.txt,,0.41350001096725464,Procedural&Team
1130,"Inservice Inspection of Classes 1, 2, and 3 Piping (ASME Section XI, Subsections IWB, IWC, IWD, and Augmented) .",34,2851,2963,ano_2001003.txt,,0.6718999743461609,Control
1142,"Inservice Inspection of Piping and Component Supports (ASME Section XI, Subsection IWF) .",38,0,89,ano_2001003.txt,,0.382999986410141,Control
1170,"Inservice Inspection of Metal Containments (ASME, Section XI, Subsection IWE) .",38,121,200,ano_2001003.txt,,0.4625999927520752,Control
1220,"Inservice Inspection of Concrete Containments ASME Section XI, Subsection IWL) .",38,254,334,ano_2001003.txt,,0.47290000319480896,Information
1303,(Closed) Review of Draft Engineering Reports .,38,437,483,ano_2001003.txt,,0.5023000240325928,Control
1317,(Closed) Incorrect References in Table 2.2-1 of the License Renewal Application .,38,500,581,ano_2001003.txt,,0.4178999960422516,Control
1351,(Closed) Rubber Boot Omitted from License Renewal Scope .,38,618,675,ano_2001003.txt,,0.5117999911308289,Control
1401,(Closed) Inconsistency in Treatment of Steam Traps on License Renewal Scope .,38,728,805,ano_2001003.txt,,0.30309998989105225,Procedural&Team
1439,"(Closed) Service Water Line JBD-15-18"" Omitted from License Renewal Scope .",38,846,921,ano_2001003.txt,,0.42809998989105225,Control
1477,(Closed) Discharge Flume Omitted from License Renewal Scope .,38,962,1023,ano_2001003.txt,,0.5149000287055969,Control
1527,(Closed) Unidentified Symbol on License Renewal Boundary Drawing LRA-M-210 .,38,1076,1152,ano_2001003.txt,,0.41449999809265137,Control
1561,(Closed) Instrument Air Valves Omitted from Aging Management Review .,38,1189,1258,ano_2001003.txt,,0.42010000348091125,Procedural&Team
